ID_Processo;Etapa_Logistica;Linha_Producao;Tempo_Ciclo_Min;Tempo_Espera_Min;Pecas_Produzidas;Pecas_Defeituosas;Custo_Operacional_R$;Gargalo_Identificado;Engenheiro_Responsavel
PRC-114;Embalagem (Packing);Linha C - Embalagem;44.6;2.9;153;2;251.62;Sim;Eng. Lima
PRC-115;Embalagem (Packing);Linha A - Montagem;21.5;10.0;63;0;247.13;Não;Eng. Lima
PRC-116;Expedição;Linha C - Embalagem;19.9;3.5;337;4;1250.09;Não;Eng. Santos
PRC-117;Recebimento;Linha A - Montagem;36.1;5.8;228;10;870.82;Sim;Sup. Costa
PRC-118;Expedição;Célula de Solda;18.6;13.6;174;5;693.78;Sim;Eng. Lima
PRC-119;Triagem;Linha B - Pintura;42.2;7.6;471;33;911.26;Sim;Eng. Silva
PRC-120;Expedição;Linha B - Pintura;39.3;10.3;402;26;1001.22;Sim;Eng. Lima
PRC-121;Recebimento;Linha B - Pintura;22.2;3.4;72;1;244.48;Não;Eng. Santos
PRC-122;Recebimento;Linha C - Embalagem;35.0;3.7;112;2;362.89;Não;Sup. Souza
PRC-123;Triagem;Célula de Solda;35.2;1.6;192;5;361.87;Sim;Eng. Santos
PRC-124;Recebimento;Linha A - Montagem;9.1;3.4;202;9;715.0;Não;Sup. Souza
PRC-125;Recebimento;Célula Robótica 1;41.1;4.9;194;4;399.85;Sim;Sup. Souza
PRC-126;Embalagem (Packing);Linha A - Montagem;25.2;3.5;274;13;564.32;Não;Sup. Costa
PRC-127;Triagem;Célula Robótica 1;38.1;2.2;499;16;1418.38;Sim;Eng. Lima
PRC-128;Separação (Picking);Linha A - Montagem;17.8;2.7;358;15;1067.68;Não;Eng. Silva
PRC-129;Separação (Picking);Célula de Solda;40.8;7.5;153;5;451.38;Sim;Eng. Silva
PRC-130;Recebimento;Célula Robótica 1;20.6;3.9;153;3;264.49;Não;Analista Rocha
PRC-131;Separação (Picking);Linha C - Embalagem;5.4;6.1;484;36;1787.73;Não;Sup. Souza
PRC-132;Separação (Picking);Linha A - Montagem;41.2;8.0;88;5;190.43;Sim;Eng. Silva
PRC-133;Recebimento;Linha A - Montagem;8.7;10.7;484;5;882.71;Sim;Sup. Costa
PRC-134;Separação (Picking);Célula Robótica 1;17.8;1.6;247;17;919.3;Não;Sup. Souza
PRC-135;Expedição;Linha C - Embalagem;43.0;12.2;183;7;711.71;Sim;Sup. Costa
PRC-136;Armazenagem;Linha C - Embalagem;43.0;9.8;116;8;424.02;Sim;Eng. Silva
PRC-137;Triagem;Célula de Solda;27.9;2.1;440;28;1550.47;Não;Eng. Silva
PRC-138;Armazenagem;Linha C - Embalagem;30.3;13.2;228;7;715.49;Sim;Analista Rocha
PRC-139;Recebimento;Linha C - Embalagem;22.9;13.9;91;0;261.82;Sim;Eng. Silva
PRC-140;Embalagem (Packing);Linha C - Embalagem;16.7;1.9;497;10;853.58;Não;Sup. Souza
PRC-141;Triagem;Linha B - Pintura;18.1;4.9;64;2;161.35;Não;Sup. Souza
PRC-142;Recebimento;Célula de Solda;31.9;12.3;160;8;389.08;Sim;Sup. Souza
PRC-143;Embalagem (Packing);Linha A - Montagem;35.1;11.5;206;4;442.77;Sim;Analista Rocha
PRC-144;Armazenagem;Célula Robótica 1;36.7;3.6;338;3;1118.29;Sim;Analista Rocha
PRC-145;Recebimento;Linha A - Montagem;36.6;3.9;280;18;767.11;Sim;Eng. Silva
PRC-146;Triagem;Célula de Solda;8.6;6.2;460;36;783.2;Não;Eng. Santos
PRC-147;Triagem;Célula Robótica 1;24.8;7.8;469;19;961.66;Não;Eng. Santos
PRC-148;Transporte;Célula de Solda;7.3;9.7;206;2;660.88;Não;Analista Rocha
PRC-149;Expedição;Linha C - Embalagem;27.0;6.2;87;1;147.06;Não;Eng. Silva
PRC-150;Separação (Picking);Célula Robótica 1;22.7;7.5;490;0;1777.73;Não;Eng. Santos
PRC-151;Embalagem (Packing);Linha C - Embalagem;40.5;11.5;146;10;399.73;Sim;Eng. Silva
PRC-152;Transporte;Linha A - Montagem;19.0;1.5;460;4;1242.67;Não;Eng. Silva
PRC-153;Separação (Picking);Linha A - Montagem;9.7;4.5;488;22;1454.74;Não;Eng. Silva
PRC-154;Separação (Picking);Célula Robótica 1;10.7;11.0;338;7;1203.86;Sim;Eng. Lima
PRC-155;Recebimento;Célula Robótica 1;35.5;13.5;303;13;717.97;Sim;Sup. Souza
PRC-156;Separação (Picking);Célula de Solda;29.7;8.2;245;12;782.78;Não;Eng. Silva
PRC-157;Expedição;Célula de Solda;9.0;8.4;135;8;393.43;Não;Eng. Lima
PRC-158;Triagem;Linha C - Embalagem;8.4;2.5;371;6;804.17;Não;Analista Rocha
PRC-159;Transporte;Célula Robótica 1;33.0;7.3;59;0;218.1;Não;Eng. Santos
PRC-160;Separação (Picking);Linha A - Montagem;7.9;8.5;54;0;188.65;Não;Sup. Souza
PRC-161;Recebimento;Célula de Solda;37.9;4.4;172;12;541.13;Sim;Eng. Santos
PRC-162;Expedição;Célula de Solda;33.2;4.8;379;26;1374.43;Não;Sup. Souza
PRC-163;Armazenagem;Linha A - Montagem;8.3;6.3;402;19;1474.63;Não;Eng. Santos
PRC-164;Triagem;Célula de Solda;8.4;1.3;167;8;546.24;Não;Sup. Souza
PRC-165;Triagem;Linha C - Embalagem;44.5;5.5;343;18;1232.24;Sim;Eng. Santos
PRC-166;Transporte;Célula Robótica 1;20.0;4.0;446;6;1446.68;Não;Eng. Santos
PRC-167;Triagem;Linha A - Montagem;19.8;5.6;208;15;665.67;Não;Eng. Santos
PRC-168;Separação (Picking);Célula Robótica 1;37.5;2.7;352;11;1072.38;Sim;Eng. Santos
PRC-169;Recebimento;Célula de Solda;42.9;13.5;277;8;936.76;Sim;Analista Rocha
PRC-170;Triagem;Célula de Solda;44.4;9.3;414;17;785.16;Sim;Eng. Silva
PRC-171;Triagem;Linha A - Montagem;35.1;10.5;265;0;981.08;Sim;Sup. Costa
PRC-172;Armazenagem;Linha C - Embalagem;20.1;12.0;485;6;1784.61;Sim;Eng. Lima
PRC-173;Armazenagem;Linha B - Pintura;8.3;8.0;233;13;366.54;Não;Sup. Costa
PRC-174;Embalagem (Packing);Linha A - Montagem;36.1;2.2;64;0;228.13;Sim;Sup. Costa
PRC-175;Expedição;Linha B - Pintura;27.3;8.5;206;9;375.37;Não;Sup. Souza
PRC-176;Separação (Picking);Linha B - Pintura;22.0;9.2;185;3;432.49;Não;Eng. Silva
PRC-177;Triagem;Linha C - Embalagem;41.3;11.4;310;9;1041.22;Sim;Sup. Souza
PRC-178;Triagem;Linha B - Pintura;9.4;7.0;206;4;391.79;Não;Eng. Silva
PRC-179;Recebimento;Linha B - Pintura;24.7;2.8;96;2;340.31;Não;Eng. Silva
PRC-180;Embalagem (Packing);Linha C - Embalagem;5.5;5.0;373;21;1335.47;Não;Eng. Santos
PRC-181;Expedição;Linha B - Pintura;23.7;6.1;381;9;1054.86;Não;Analista Rocha
PRC-182;Embalagem (Packing);Linha B - Pintura;7.3;10.0;222;10;336.54;Não;Eng. Santos
PRC-183;Transporte;Linha B - Pintura;9.8;9.0;179;6;396.95;Não;Analista Rocha
PRC-184;Expedição;Linha A - Montagem;9.7;6.0;460;24;1399.47;Não;Sup. Souza
PRC-185;Triagem;Linha A - Montagem;31.0;14.8;144;10;569.23;Sim;Analista Rocha
PRC-186;Triagem;Linha A - Montagem;34.8;9.5;164;9;505.04;Não;Sup. Souza
PRC-187;Expedição;Linha C - Embalagem;28.3;4.3;292;5;627.66;Não;Sup. Costa
PRC-188;Triagem;Célula de Solda;43.5;2.4;469;1;1446.87;Sim;Sup. Costa
PRC-189;Separação (Picking);Linha B - Pintura;20.0;3.1;341;7;971.84;Não;Analista Rocha
PRC-190;Expedição;Linha B - Pintura;16.4;4.4;331;15;1141.82;Não;Analista Rocha
PRC-191;Embalagem (Packing);Linha C - Embalagem;39.7;3.2;348;1;615.07;Sim;Sup. Souza
PRC-192;Expedição;Linha B - Pintura;13.9;3.6;332;13;1129.65;Não;Eng. Santos
PRC-193;Triagem;Linha A - Montagem;43.5;5.0;118;5;336.67;Sim;Sup. Souza
PRC-194;Separação (Picking);Célula de Solda;5.5;3.4;197;5;769.77;Não;Eng. Santos
PRC-195;Separação (Picking);Célula Robótica 1;43.8;13.6;60;3;141.28;Sim;Sup. Costa
PRC-196;Transporte;Linha B - Pintura;6.7;2.1;303;2;933.71;Não;Eng. Silva
PRC-197;Embalagem (Packing);Linha A - Montagem;40.6;8.3;379;2;1451.6;Sim;Analista Rocha
PRC-198;Armazenagem;Célula Robótica 1;26.1;6.7;409;23;718.32;Não;Eng. Santos
PRC-199;Armazenagem;Célula de Solda;44.7;14.8;87;3;334.35;Sim;Sup. Souza
PRC-200;Expedição;Célula Robótica 1;8.0;2.6;183;10;589.21;Não;Sup. Costa
